Model,Trial,Best_Score_So_Far
RF,4,0.9482708333333333
RF,5,0.9482708333333333
RF,6,0.9615416666666666
RF,7,0.9615416666666666
RF,8,0.9615416666666666
RF,9,0.9615416666666666
RF,10,0.9615416666666666
RF,11,0.9615416666666666
RF,12,0.9615416666666666
RF,13,0.9615416666666666
RF,14,0.9615416666666666
RF,15,0.9615416666666666
RF,16,0.9615416666666666
RF,17,0.9657708333333334
RF,18,0.9684166666666666
RF,19,0.9684166666666666
RF,20,0.9684166666666666
RF,21,0.9684166666666666
RF,22,0.9684166666666666
RF,23,0.9701041666666667
RF,24,0.9707916666666666
RF,25,0.9713125
RF,26,0.9713125
RF,27,0.9713125
RF,28,0.9713125
RF,29,0.9713125
RF,30,0.9713125
RF,31,0.9713125
RF,32,0.9713125
RF,33,0.9713125
RF,34,0.9713125
RF,35,0.9713125
RF,36,0.9713125
RF,37,0.9713125
RF,38,0.9713125
RF,39,0.9713125
RF,40,0.9713125
RF,41,0.9713125
RF,42,0.9713125
RF,43,0.9728333333333333
RF,44,0.9728333333333333
RF,45,0.9728333333333333
RF,46,0.9728333333333333
RF,47,0.9728333333333333
RF,48,0.9728333333333333
RF,49,0.9728333333333333
RF,50,0.9728333333333333
SGD,1,0.8949791666666667
SGD,2,0.8949791666666667
SGD,3,0.8949791666666667
SGD,4,0.8949791666666667
SGD,5,0.8949791666666667
SGD,6,0.8949791666666667
SGD,7,0.8949791666666667
SGD,8,0.8949791666666667
SGD,9,0.8949791666666667
SGD,10,0.8949791666666667
SGD,11,0.8949791666666667
SGD,12,0.8949791666666667
SGD,13,0.8949791666666667
SGD,14,0.8949791666666667
SGD,15,0.8949791666666667
SGD,16,0.8949791666666667
SGD,17,0.8949791666666667
SGD,18,0.8949791666666667
SGD,19,0.8949791666666667
SGD,20,0.8949791666666667
SGD,21,0.8949791666666667
SGD,22,0.8957499999999999
SGD,23,0.8957499999999999
SGD,24,0.8957708333333333
SGD,25,0.8960625
SGD,26,0.8960625
SGD,27,0.8960625
SGD,28,0.8960625
SGD,29,0.8960625
SGD,30,0.8960625
SGD,31,0.8961874999999999
SGD,32,0.8961874999999999
SGD,33,0.8961874999999999
SGD,34,0.8962291666666667
SGD,35,0.8962291666666667
SGD,36,0.8962291666666667
SGD,37,0.8962291666666667
SGD,38,0.8962291666666667
SGD,39,0.8962291666666667
SGD,40,0.8962291666666667
SGD,41,0.8962291666666667
SGD,42,0.8962291666666667
SGD,43,0.8962291666666667
SGD,44,0.8962291666666667
SGD,45,0.8962291666666667
SGD,46,0.8962291666666667
SGD,47,0.8962291666666667
SGD,48,0.8962291666666667
SGD,49,0.8962291666666667
SGD,50,0.8962291666666667
SVM,1,0.7210208333333334
SVM,2,0.9855625
SVM,3,0.9855625
SVM,4,0.9855625
SVM,5,0.9855625
SVM,6,0.9855625
SVM,7,0.9855625
SVM,8,0.9855625
SVM,9,0.9855625
SVM,10,0.9855625
SVM,11,0.9928750000000001
SVM,12,0.9928750000000001
SVM,13,0.9931458333333334
SVM,14,0.99325
SVM,15,0.99325
SVM,16,0.9933333333333334
SVM,17,0.9933333333333334
SVM,18,0.9933333333333334
SVM,19,0.9933333333333334
SVM,20,0.9933333333333334
SVM,21,0.9933333333333334
SVM,22,0.9933333333333334
SVM,23,0.9933333333333334
SVM,24,0.9933333333333334
SVM,25,0.9933333333333334
SVM,26,0.9933333333333334
SVM,27,0.9933333333333334
SVM,28,0.9933333333333334
SVM,29,0.9933333333333334
SVM,30,0.9933333333333334
SVM,31,0.9933333333333334
SVM,32,0.9933333333333334
SVM,33,0.9933333333333334
SVM,34,0.9933333333333334
SVM,35,0.9933333333333334
SVM,36,0.9933333333333334
SVM,37,0.9933333333333334
SVM,38,0.9933333333333334
SVM,39,0.9933333333333334
SVM,40,0.9933333333333334
SVM,41,0.9933333333333334
SVM,42,0.9933333333333334
SVM,43,0.9933333333333334
SVM,44,0.9933333333333334
SVM,45,0.9933333333333334
SVM,46,0.9933333333333334
SVM,47,0.9933333333333334
SVM,48,0.9933333333333334
SVM,49,0.9933333333333334
SVM,50,0.9933333333333334
XGB,1,0.9713749999999999
XGB,2,0.9851458333333334
XGB,3,0.9851458333333334
XGB,4,0.9851458333333334
XGB,5,0.9866041666666666
XGB,6,0.9866041666666666
XGB,7,0.9866041666666666
XGB,8,0.9866041666666666
XGB,9,0.9866041666666666
XGB,10,0.9866041666666666
XGB,11,0.9899999999999999
XGB,12,0.9901250000000001
XGB,13,0.9901250000000001
XGB,14,0.9901250000000001
XGB,15,0.9907708333333334
XGB,16,0.9907708333333334
XGB,17,0.9907708333333334
