Model,Scaler,Mean,Std,Fold_1,Fold_2,Fold_3,Fold_4,Fold_5
LinearSVC,Standard,0.8563541666666665,0.0026833786228062113,0.8569791666666666,0.8590625,0.8566666666666667,0.8578125,0.85125
LinearSVC,Robust,0.8563333333333333,0.002681275090532699,0.8569791666666666,0.8590625,0.8565625,0.8578125,0.85125
LinearSVC,Quantile,0.8517916666666666,0.0026487025125521385,0.8472916666666667,0.8530208333333333,0.8505208333333333,0.8532291666666667,0.8548958333333333
SVM,Standard,0.9790208333333332,0.00140157401596285,0.9784375,0.9772916666666667,0.9789583333333334,0.9815625,0.9788541666666667
SVM,Power,0.9789166666666667,0.0013136568975361954,0.9772916666666667,0.9782291666666667,0.9798958333333333,0.9809375,0.9782291666666667
SVM,Robust,0.9784166666666666,0.0008052561704202981,0.9788541666666667,0.9776041666666667,0.9779166666666667,0.9797916666666666,0.9779166666666667
SVM,MinMax,0.978125,0.0016509677296798818,0.9772916666666667,0.976875,0.9783333333333334,0.98125,0.976875
SVM,Raw,0.9727083333333333,0.0015756392000990742,0.97375,0.9709375,0.9711458333333334,0.9751041666666667,0.9726041666666667
SVM,Quantile,0.9698541666666667,0.0018001253814356583,0.9703125,0.969375,0.9692708333333333,0.9729166666666667,0.9673958333333333
AdaBoost,Raw,0.8875624999999999,0.007039878964395153,0.8903125,0.8960416666666666,0.8746875,0.8891666666666667,0.8876041666666666
AdaBoost,Standard,0.8875624999999999,0.007039878964395153,0.8903125,0.8960416666666666,0.8746875,0.8891666666666667,0.8876041666666666
AdaBoost,MinMax,0.8875624999999999,0.007039878964395153,0.8903125,0.8960416666666666,0.8746875,0.8891666666666667,0.8876041666666666
AdaBoost,Robust,0.8875624999999999,0.007039878964395153,0.8903125,0.8960416666666666,0.8746875,0.8891666666666667,0.8876041666666666
AdaBoost,Power,0.8875624999999999,0.007039878964395153,0.8903125,0.8960416666666666,0.8746875,0.8891666666666667,0.8876041666666666
