Model,Optimizer,Iteration,Best_Score_So_Far
LR,TPE,34,0.8972916666666666
LR,TPE,35,0.8972916666666666
LR,TPE,36,0.8972916666666666
LR,TPE,37,0.8972916666666666
LR,TPE,38,0.8972916666666666
LR,TPE,39,0.8972916666666666
LR,TPE,40,0.8972916666666666
LR,TPE,41,0.8972916666666666
LR,TPE,42,0.8972916666666666
LR,TPE,43,0.8972916666666666
LR,TPE,44,0.8972916666666666
LR,TPE,45,0.8972916666666666
LR,TPE,46,0.8972916666666666
LR,TPE,47,0.8972916666666666
LR,TPE,48,0.8972916666666666
LR,TPE,49,0.8972916666666666
LR,TPE,50,0.8972916666666666
LR,GWO,1,0.8972916666666666
LR,GWO,2,0.8972916666666666
LR,GWO,3,0.8972916666666666
LR,GWO,4,0.8972916666666666
LR,GWO,5,0.8972916666666666
LR,GWO,6,0.8972916666666666
LR,GWO,7,0.8972916666666666
LR,GWO,8,0.8972916666666666
LR,GWO,9,0.8972916666666666
LR,GWO,10,0.8972916666666666
LR,GWO,11,0.8972916666666666
LR,GWO,12,0.8972916666666666
LR,GWO,13,0.8972916666666666
LR,GWO,14,0.8972916666666666
LR,GWO,15,0.8972916666666666
LR,GWO,16,0.8972916666666666
LR,GWO,17,0.8972916666666666
LR,GWO,18,0.8972916666666666
LR,GWO,19,0.8972916666666666
LR,GWO,20,0.897375
LR,GWO,21,0.897375
LR,GWO,22,0.897375
LR,GWO,23,0.897375
LR,GWO,24,0.897375
LR,GWO,25,0.897375
LR,GWO,26,0.897375
LR,GWO,27,0.897375
LR,GWO,28,0.897375
LR,GWO,29,0.897375
LR,GWO,30,0.897375
LR,GWO,31,0.897375
LR,GWO,32,0.897375
LR,GWO,33,0.897375
LR,GWO,34,0.897375
LR,GWO,35,0.897375
LR,GWO,36,0.897375
LR,GWO,37,0.897375
LR,GWO,38,0.897375
LR,GWO,39,0.897375
LR,GWO,40,0.897375
LR,GWO,41,0.897375
LR,GWO,42,0.897375
LR,GWO,43,0.897375
LR,GWO,44,0.897375
LR,GWO,45,0.897375
