Scaler,Model,Metric,Mean,Std
Standard,SGD,recall,0.887767738839494,0.008759377610670261
Standard,SGD,roc_auc,0.9339481869813687,0.002631927989716504
Standard,SGD,matthews_corrcoef,0.6817983085212884,0.0059790624959951515
MinMax,LR,accuracy,0.85725,0.002238589895943951
MinMax,LR,f1,0.8886500618862889,0.001766380352247154
MinMax,LR,precision,0.884516222406341,0.0022426381432040722
MinMax,LR,recall,0.8928291232887668,0.002622856060841082
MinMax,LR,roc_auc,0.9358888025841943,0.0016549055616278938
MinMax,LR,matthews_corrcoef,0.6899144367814178,0.004866493039453184
MinMax,LDA,accuracy,0.8554999999999999,0.0021963116177405716
MinMax,LDA,f1,0.8859126839471634,0.0017648349653460824
MinMax,LDA,precision,0.8925611547064026,0.0027677339054022355
MinMax,LDA,recall,0.8793756195097242,0.0032129022116366207
MinMax,LDA,roc_auc,0.9342051922450741,0.0017888006341795345
MinMax,LDA,matthews_corrcoef,0.6890793278955348,0.0047824122349033075
MinMax,QDA,accuracy,0.8362708333333334,0.01172407749273072
MinMax,QDA,f1,0.8756665301175175,0.008811087606559603
MinMax,QDA,precision,0.8552570137132409,0.05626546214778825
MinMax,QDA,recall,0.9065459630227009,0.07016404851089937
MinMax,QDA,roc_auc,0.9248122484628555,0.0009230368030351926
MinMax,QDA,matthews_corrcoef,0.6526082047206232,0.030767457089398306
MinMax,NB,accuracy,0.8308958333333333,0.0027231963959859834
MinMax,NB,f1,0.8653384765334187,0.002578563596530668
MinMax,NB,precision,0.8794819909031986,0.0032495312162746713
MinMax,NB,recall,0.8516849598101814,0.006261731231171983
MinMax,NB,roc_auc,0.9046894890962289,0.0020091806155118058
MinMax,NB,matthews_corrcoef,0.6389118622475427,0.005145349313618999
MinMax,KNN,accuracy,0.9271041666666667,0.0020019521722558745
MinMax,KNN,f1,0.9434751627185115,0.0015837360144796454
MinMax,KNN,precision,0.9335989143962093,0.001511282418539158
MinMax,KNN,recall,0.9535657046881457,0.0023878921537431974
MinMax,KNN,roc_auc,0.9761158452472897,0.0007058607327427425
MinMax,KNN,matthews_corrcoef,0.8412701126018215,0.004340203579673432
MinMax,LinearSVC,accuracy,0.8565624999999999,0.002487817539754671
MinMax,LinearSVC,f1,0.8879958822365921,0.0019411573115765194
MinMax,LinearSVC,precision,0.8847900051408789,0.0023087925516025887
MinMax,LinearSVC,recall,0.8912290859648889,0.0023988572085611214
MinMax,LinearSVC,roc_auc,0.9362609667341355,0.0016251535393358716
MinMax,LinearSVC,matthews_corrcoef,0.6886459270959697,0.005430286487800735
MinMax,SVM,accuracy,0.978125,0.0016509677296798818
MinMax,SVM,f1,0.9829164231030966,0.0012737977998458353
MinMax,SVM,precision,0.9795735661834779,0.0023663654826680497
MinMax,SVM,recall,0.986285277063144,0.0007929605613598091
MinMax,SVM,roc_auc,0.9981214068421244,0.00025069321390000927
MinMax,SVM,matthews_corrcoef,0.9525643231632918,0.0035938783292844547
MinMax,AdaBoost,accuracy,0.8875624999999999,0.007039878964395153
MinMax,AdaBoost,f1,0.9128026047079606,0.005773642264053663
MinMax,AdaBoost,precision,0.9031834080160278,0.00394388420632278
MinMax,AdaBoost,recall,0.922675007664725,0.009746743103313627
MinMax,AdaBoost,roc_auc,0.9575827023519174,0.004560711191076148
MinMax,AdaBoost,matthews_corrcoef,0.7550248681356346,0.014947599858804443
MinMax,RF,accuracy,0.9599791666666666,0.002021370203599536
MinMax,RF,f1,0.9689161865767147,0.00157311898431091
MinMax,RF,precision,0.960326282698906,0.0019399883753082197
MinMax,RF,recall,0.9776645276529946,0.002105095933656757
MinMax,RF,roc_auc,0.9941252679227339,0.00041531615946058703
MinMax,RF,matthews_corrcoef,0.9130524328896279,0.004409651938935989
MinMax,GB,accuracy,0.9225833333333334,0.003933805586056446
MinMax,GB,f1,0.9402923736869262,0.0030955009663750834
MinMax,GB,precision,0.9255517999574933,0.0031802704774192155
MinMax,GB,recall,0.9555249843373013,0.00482275250510954
MinMax,GB,roc_auc,0.9810733404458649,0.0008112851127582526
MinMax,GB,matthews_corrcoef,0.8311920306045494,0.008601545348027649
MinMax,XGB,accuracy,0.9853125,0.00108253175473054
MinMax,XGB,f1,0.9885327496517184,0.0008388777338754263
MinMax,XGB,precision,0.984866357856043,0.0015829313434258948
MinMax,XGB,recall,0.9922282994974605,0.0007770354415109727
MinMax,XGB,roc_auc,0.9989877730478576,5.7096962229563196e-05
MinMax,XGB,matthews_corrcoef,0.968166181139031,0.0023461824421766846
MinMax,LGBM,accuracy,0.9674375000000002,0.001686856873333119
MinMax,LGBM,f1,0.974646199441555,0.0013078283757382392
MinMax,LGBM,precision,0.968380966989543,0.0018091666120937933
MinMax,LGBM,recall,0.9809952998573696,0.0015196573559586079
MinMax,LGBM,roc_auc,0.9961048849162519,0.0003069699764859453
MinMax,LGBM,matthews_corrcoef,0.9293087477679881,0.003670940275478425
MinMax,CB,accuracy,0.9883124999999999,0.001083333333333354
MinMax,CB,f1,0.9908665299668609,0.000843957524375763
MinMax,CB,precision,0.9880845618650845,0.0012384907835229703
MinMax,CB,recall,0.9936650875111639,0.0008664743557272835
MinMax,CB,roc_auc,0.9992746110635741,0.00013384302678401627
MinMax,CB,matthews_corrcoef,0.974673949726126,0.002350878290788896
