Model,Scaler,Fold,Accuracy
AdaBoost,Quantile,5,0.8876041666666666
RF,Quantile,1,0.9570833333333333
RF,Quantile,2,0.9625
RF,Quantile,3,0.9627083333333334
RF,Quantile,4,0.958125
RF,Quantile,5,0.9586458333333333
GB,Quantile,1,0.918125
GB,Quantile,2,0.9266666666666666
GB,Quantile,3,0.9251041666666666
GB,Quantile,4,0.9255208333333333
GB,Quantile,5,0.9175
XGB,Quantile,1,0.9842708333333333
XGB,Quantile,2,0.9840625
XGB,Quantile,3,0.9857291666666667
XGB,Quantile,4,0.9861458333333334
XGB,Quantile,5,0.9851041666666667
LGBM,Quantile,1,0.96375
LGBM,Quantile,2,0.9680208333333333
LGBM,Quantile,3,0.969375
LGBM,Quantile,4,0.9704166666666667
LGBM,Quantile,5,0.9665625
CB,Quantile,1,0.9885416666666667
CB,Quantile,2,0.9866666666666667
CB,Quantile,3,0.9876041666666666
CB,Quantile,4,0.9886458333333333
CB,Quantile,5,0.9883333333333333
SGD,Quantile,1,0.8473958333333333
SGD,Quantile,2,0.8508333333333333
SGD,Quantile,3,0.8492708333333333
SGD,Quantile,4,0.850625
SGD,Quantile,5,0.8536458333333333
